,Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
1737,LAST FILM SHOW,87%,Fewer than 50 Ratings,94%,LAST FILM SHOW,Drama,Gujarati,Pan Nalin,"Marc Duale, Dheer Momaya, Pan Nalin",Pan Nalin,"Dec 2, 2022  Limited",,,1h 50m,Samuel Goldwyn Films,"Samay, a 9-year-old boy living with his family in a remote village in India discovers films for the first time and is absolutely mesmerized. Against his father's wishes, he returns to the cinema day after day to watch more films, and even befriends the projectionist, who, in exchange for his lunch box, lets him watch movies for free. He quickly figures out that stories become light, light becomes films, and films become dreams. Samay and his wild gang of friends move heaven and earth to catch and project light to achieve a 35mm film projection. Together, they use an innovative hack and jubilantly succeed in making a film projection apparatus. But following your dreams often means leaving things behind."
1738,HUNT,--,Fewer than 50 Ratings,62%,HUNT,"Drama, Action, Mystery & Thriller",Korean,Lee Jung-jae,"Han Jae-duk, Lee Jung-jae",Lee Jung-jae,"Dec 2, 2022  Limited","Dec 2, 2022",,2h 11m,Magnet Releasing,"After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho (LEE Jung Jae) and Domestic Unit chief Kim Jung-do (JUNG Woo Sung) are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other. In this tense situation where if they cannot find the mole, they may be accused themselves, Pyong-ho and Jung-do slowly start to uncover the truth. In the end, they must deal with an unthinkable plot to assassinate the South Korean president..."
1739,2ND CHANCE,--,0 Ratings,89%,2ND CHANCE,"Documentary, Biography",English,Ramin Bahrani,"Daniel M. Turcan, Johnny Galvin, Charles Dorfman, Ramin Bahrani, Jacob Grodnik",Ramin Bahrani,"Dec 2, 2022  Limited",,,1h 29m,Bleecker Street,"In 1969 a bankrupt pizzeria owner, Richard Davis, invented the modern-day bullet proof vest. To prove that it worked, he shot himself -- point blank -- 192 times. He launched Second Chance, which became the largest body armor company in the world, saving over 3,000 lives. Charming and brash, Davis also directed over eight hours of cult marketing films, both violent and humorous, and became a celebrity figure among police and gun owners across the country. But when a police officer dies wearing a Second Chance vest, Davis's friend and employee becomes a government whistleblower in a case against the company. This exploration of Davis' rise and fall reveals a man of contradictions, decades of reckless lies and threats and the nature of power and impunity in America."
1740,SAVAGE SALVATION,67%,Fewer than 50 Ratings,--,SAVAGE SALVATION,"Action, Mystery & Thriller",English,Randall Emmett,"Randall Emmett, George Furla, Petr Jákl, Nick Koskoff, Shaun Sanghani, Timothy C. Sullivan, Chad A. Verdi","Adam Taylor Barker, Chris Sivertson","Dec 2, 2022  Limited","Dec 2, 2022",,1h 41m,The Avenue,"Sheriff Church (Robert De Niro) and Detective Zeppelin strive to keep the peace in their rough town, where residents' only two interests are the church or oxycodone. Newly engaged Shelby John (Jack Huston) and Ruby Red want a fresh start. They decide to have a family together and get clean, with the support of Peter, Ruby's brother-in-law (John Malkovich). However Shelby discovers his beloved Ruby dead on their porch before she could fulfill her final wish: to be baptized in the river and washed away from her past sins. Filled with fiery rage, Shelby embarks on a vengeful killing spree to right all the wrong done to Ruby by every link in the drug dealing chain. Armed with nothing but adrenaline and a nail gun, Shelby picks off dealers and junkies one by one until he gets to the top. Sheriff Church and Detective Zeppelin must race against the clock to put an end to Shelby's vigilante justice before his fight with the crime lord Coyote (Quavo) turns the entire town into a bloodbath."
1741,TANTURA,--,Fewer than 50 Ratings,93%,TANTURA,Documentary,Hebrew,Alon Schwarz,"Maiken Baird, Alon Schwarz, Shaul Schwarz","Halil Efrat, Alon Schwarz, Shaul Schwarz","Dec 2, 2022  Limited",,,1h 35m,Reel Peak Films,"The tape-recorded words ""erase it"" take on new weight in the context of history and war. When the State of Israel was established in 1948, war broke out and hundreds of Palestinian villages were depopulated in its aftermath. Israelis know this as the War of Independence. Palestinians call it ""Al Nakba"" (the Catastrophe). In the late 1990s, graduate student Teddy Katz conducted research into a large-scale massacre that had allegedly occurred in the village of Tantura in 1948. His work later came under attack and his reputation was ruined, but 140 hours of audio testimonies remain. Director Alon Schwarz revisits former Israeli soldiers of the Alexandroni Brigade as well as Palestinian residents in an effort to re-examine what happened in Tantura and explore why the Nakba is taboo in Israeli society. The ex-soldiers, now in their 90s, recall unsettling acts of war while disquietly pausing at points they either don't remember or won't speak of. Audio from Katz's 20-year-old interviews cuts through the silence of self-preservation and exposes the ways in which power, silencing, and protected narratives can sculpt history."
1742,FOUR SAMOSAS,100%,Fewer than 50 Ratings,65%,FOUR SAMOSAS,"Comedy, Action, Romance",English,Ravi Kapoor,"Ravi Kapoor, Rajiv Maikhuri, Venk Potula, Craig Stovel",Ravi Kapoor,"Dec 2, 2022  Limited","Dec 2, 2022",,1h 20m,IFC Films,"When a wanna-be rapper learns his ex is engaged to marry his smarmy rival, he and three other misfit dreamers plan a heist to steal her wedding diamonds and win her back in this feel-good family caper."
1743,RETURN TO SEOUL,--,Fewer than 50 Ratings,97%,RETURN TO SEOUL,Drama,English,Davy Chou,"Katia Khazak, Charlotte Vincent",Davy Chou,"Dec 2, 2022  Limited",,,1h 59m,Sony Pictures Classics,"On an impulse to reconnect with her origins, Freddie, 25, returns to South Korea for the first time, where she was born before being adopted and raised in France. The headstrong young woman starts looking for her biological parents in a country she knows so little about, taking her life in new and unexpected directions."
1744,ANGRY NEIGHBORS,--,0 Ratings,--,ANGRY NEIGHBORS,Comedy,English,Warren Brock,"Warren Brock, Kerry Orent, Mike Sobiloff, Camille Torabpour, Hamid Torabpour","James M. Bear, Hamid Torabpour","Dec 2, 2022  Limited","Dec 2, 2022",,1h 20m,Lionsgate,"When his ultra-wealthy neighbor in the Hamptons builds an obnoxious mega-mansion next door, grumpy retired novelist Harry March concocts an elaborate scheme for revenge that is destined to go hilariously awry."
1745,WHAT REMAINS,100%,Fewer than 50 Ratings,40%,WHAT REMAINS,Drama,English,Nathan Scoggins,Ralph Winter,Nathan Scoggins,"Dec 2, 2022  Limited",,,1h 41m,Gravitas Ventures,"A small town pastor is forced to reckon with an act of forgiveness when the convict he forgave for murdering his wife returns to town five years later, while the town sheriff investigates another murder that may be related."
1746,NR. 10,--,0 Ratings,67%,NR. 10,"Mystery & Thriller, Drama, Sci-Fi",German,Alex van Warmerdam,Marc van Warmerdam,Alex van Warmerdam,"Dec 2, 2022  Limited","Dec 9, 2022",,1h 40m,Drafthouse Films,"Günter was raised by foster parents after being found abandoned in the woods with no memory as a child. Years later, when a man approaches him on the street and whispers a strange word in his ear, he begins to experience visions from his fractured past that reveal a dark secret, threatening what he thinks he knows about his life and the very nature of his existence."
